city	cityLabel	cityLabel	cityLabel	cityLabel	cityLabel	cityLabel
http://www.wikidata.org/entity/Q10690	Cardiff	Cardiff	Cardiff	Cardiff	Cardiff	Cardiff
http://www.wikidata.org/entity/Q10717	Georgetown	Georgetown	Georgetown	Georgetown	Georgetown	Georgetown
http://www.wikidata.org/entity/Q1218	Jerusalem	Jerusalem	Jerusalem	Jerusalem	Jérusalem	Gerusalemme
http://www.wikidata.org/entity/Q129352	Stepanakert	Stepanakert	Stepanakert	Stepanakert	Stepanakert	Step'anakert
http://www.wikidata.org/entity/Q131233	South Tarawa	South Tarawa	South Tarawa	South Tarawa	Tarawa-Sud	Tarawa Sud
http://www.wikidata.org/entity/Q131243	Oranjestad	Oranjestad	Oranjestad	Oranjestad	Oranjestad	Oranjestad
http://www.wikidata.org/entity/Q131694	Aden	Aden	Aden	Aden	Aden	Aden
http://www.wikidata.org/entity/Q1335	Montevideo	Montevideo	Montevideo	Montevideo	Montevideo	Montevideo
http://www.wikidata.org/entity/Q1354	Dhaka	Dhaka	Dhaka	Dhaka	Dacca	Dacca
http://www.wikidata.org/entity/Q1362	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad	Islamabad
http://www.wikidata.org/entity/Q1486	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires	Buenos Aires
http://www.wikidata.org/entity/Q1489	Mexico City	Mexico City	México	Mexiko-Stadt	Mexico	Città del Messico
http://www.wikidata.org/entity/Q1491	La Paz	La Paz	La Paz	La Paz	La Paz	La Paz
http://www.wikidata.org/entity/Q1519	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abu Dhabi	Abou Dabi	Abu Dhabi
http://www.wikidata.org/entity/Q1524	Athens	Aten	Ateena	Athen	Athènes	Atene
http://www.wikidata.org/entity/Q1533	Caracas	Caracas	Caracas	Caracas	Caracas	Caracas
http://www.wikidata.org/entity/Q1555	Guatemala City	Guatemala City	Guatemala	Guatemala-Stadt	Guatemala-Ville	Città del Guatemala
http://www.wikidata.org/entity/Q167551	Gitega	Gitega	Gitega	Gitega	Gitega	Gitega
http://www.wikidata.org/entity/Q1754	Stockholm	Stockholm	Tukholma	Stockholm	Stockholm	Stoccolma
http://www.wikidata.org/entity/Q1757	Helsinki	Helsingfors	Helsinki	Helsinki	Helsinki	Helsinki
http://www.wikidata.org/entity/Q1780	Bratislava	Bratislava	Bratislava	Bratislava	Bratislava	Bratislava
http://www.wikidata.org/entity/Q1850	Phnom Penh	Phnom Penh	Phnom Penh	Phnom Penh	Phnom Penh	Phnom Penh
http://www.wikidata.org/entity/Q1858	Hanoi	Hanoi	Hanoi	Hanoi	Hanoï	Hanoi
http://www.wikidata.org/entity/Q1861	Bangkok	Bangkok	Bangkok	Bangkok	Bangkok	Bangkok
http://www.wikidata.org/entity/Q1863	Andorra la Vella	Andorra la Vella	Andorra la Vella	Andorra la Vella	Andorre-la-Vieille	Andorra la Vella
http://www.wikidata.org/entity/Q1867	Taipei	Taipei	Taipei	Taipeh	Taipei	Taipei
http://www.wikidata.org/entity/Q18808	Pyongyang	Pyongyang	Pjongjang	Pjöngjang	Pyongyang	Pyongyang
http://www.wikidata.org/entity/Q1947	Juba	Juba	Juba	Juba	Djouba	Giuba
http://www.wikidata.org/entity/Q1963	Khartoum	Khartoum	Khartum	Khartum	Khartoum	Khartum
http://www.wikidata.org/entity/Q19689	Tirana	Tirana	Tirana	Tirana	Tirana	Tirana
http://www.wikidata.org/entity/Q220	Rome	Rom	Rooma	Rom	Rome	Roma
http://www.wikidata.org/entity/Q23438	Ashgabat	Asjchabad	Ašgabat	Aşgabat	Achgabat	Aşgabat
http://www.wikidata.org/entity/Q23564	Podgorica	Podgorica	Podgorica	Podgorica	Podgorica	Podgorica
http://www.wikidata.org/entity/Q241122	Comrat	Comrat	Comrat	Comrat	Comrat	Comrat
http://www.wikidata.org/entity/Q2467	Nassau	Nassau	Nassau	Nassau	Nassau	Nassau
http://www.wikidata.org/entity/Q269	Tashkent	Tasjkent	Taškent	Taschkent	Tachkent	Tashkent
http://www.wikidata.org/entity/Q270	Warsaw	Warszawa	Varsova	Warschau	Varsovie	Varsavia
http://www.wikidata.org/entity/Q2844	Brasília	Brasília	Brasília	Brasília	Brasilia	Brasilia
http://www.wikidata.org/entity/Q2868	Lima	Lima	Lima	Lima	Lima	Lima
http://www.wikidata.org/entity/Q2933	Asunción	Asunción	Asunción	Asunción	Asuncion	Asunción
http://www.wikidata.org/entity/Q3037	Kathmandu	Katmandu	Kathmandu	Kathmandu	Katmandou	Katmandu
http://www.wikidata.org/entity/Q3070	San José	San José	San José	San José	San José	San José
http://www.wikidata.org/entity/Q3110	San Salvador	San Salvador	San Salvador	San Salvador	San Salvador	San Salvador
http://www.wikidata.org/entity/Q3114	Canberra	Canberra	Canberra	Canberra	Canberra	Canberra
http://www.wikidata.org/entity/Q3238	Tegucigalpa	Tegucigalpa	Tegucigalpa	Tegucigalpa	Tegucigalpa	Tegucigalpa
http://www.wikidata.org/entity/Q3274	Managua	Managua	Managua	Managua	Managua	Managua
http://www.wikidata.org/entity/Q334	Singapore	Singapore	Singapore	Singapur	Singapour	Singapore
http://www.wikidata.org/entity/Q34126	Funafuti	Funafuti	Funafuti	Funafuti	Funafuti	Funafuti
http://www.wikidata.org/entity/Q34692	Kingston	Kingston	Kingston	Kingston	Kingston	Kingston
http://www.wikidata.org/entity/Q34820	Santo Domingo	Santo Domingo	Santo Domingo	Santo Domingo	Saint-Domingue	Santo Domingo
http://www.wikidata.org/entity/Q35381	Colombo	Colombo	Colombo	Colombo	Colombo	Colombo
http://www.wikidata.org/entity/Q3551	Rabat	Rabat	Rabat	Rabat	Rabat	Rabat
http://www.wikidata.org/entity/Q3561	Algiers	Alger	Alger	Algier	Alger	Algeri
http://www.wikidata.org/entity/Q3579	Tripoli	Tripoli	Tripoli	Tripolis	Tripoli	Tripoli
http://www.wikidata.org/entity/Q3604	Djibouti	Djibouti	Djibouti	Dschibuti	Djibouti	Gibuti
http://www.wikidata.org/entity/Q36168	Bridgetown	Bridgetown	Bridgetown	Bridgetown	Bridgetown	Bridgetown
http://www.wikidata.org/entity/Q36260	Apia	Apia	Apia	Apia	Apia	Apia
http://www.wikidata.org/entity/Q36262	Saint John's	Saint John's	St. John’s	Saint John’s	Saint John's	Saint John's
http://www.wikidata.org/entity/Q36281	Roseau	Roseau	Roseau	Roseau	Roseau	Roseau
http://www.wikidata.org/entity/Q3630	Jakarta	Jakarta	Jakarta	Jakarta	Jakarta	Giacarta
http://www.wikidata.org/entity/Q3642	Asmara	Asmara	Asmara	Asmara	Asmara	Asmara
http://www.wikidata.org/entity/Q36526	Port Moresby	Port Moresby	Port Moresby	Port Moresby	Port Moresby	Port Moresby
http://www.wikidata.org/entity/Q3659	N'Djamena	N'Djamena	N’Djamena	N’Djamena	N'Djaména	N’Djamena
http://www.wikidata.org/entity/Q3674	Niamey	Niamey	Niamey	Niamey	Niamey	Niamey
http://www.wikidata.org/entity/Q3688	Nouakchott	Nouakchott	Nouakchott	Nouakchott	Nouakchott	Nouakchott
http://www.wikidata.org/entity/Q3703	Bamako	Bamako	Bamako	Bamako	Bamako	Bamako
http://www.wikidata.org/entity/Q3726	Banjul	Banjul	Banjul	Banjul	Banjul	Banjul
http://www.wikidata.org/entity/Q3733	Conakry	Conakry	Conakry	Conakry	Conakry	Conakry
http://www.wikidata.org/entity/Q3739	Bissau	Bissau	Bissau	Bissau	Bissau	Bissau
http://www.wikidata.org/entity/Q37400	Naypyidaw	Naypyidaw	Naypyidaw	Naypyidaw	Naypyidaw	Naypyidaw
http://www.wikidata.org/entity/Q3748	Monrovia	Monrovia	Monrovia	Monrovia	Monrovia	Monrovia
http://www.wikidata.org/entity/Q3751	Praia	Praia	Praia	Praia	Praia	Praia
http://www.wikidata.org/entity/Q3761	Accra	Accra	Accra	Accra	Accra	Accra
http://www.wikidata.org/entity/Q3766	Damascus	Damaskus	Damaskos	Damaskus	Damas	Damasco
http://www.wikidata.org/entity/Q37701	Bloemfontein	Bloemfontein	Bloemfontein	Bloemfontein	Bloemfontein	Bloemfontein
http://www.wikidata.org/entity/Q3780	Freetown	Freetown	Freetown	Freetown	Freetown	Freetown
http://www.wikidata.org/entity/Q37806	Port Vila	Port Vila	Port Vila	Port Vila	Port-Vila	Port Vila
http://www.wikidata.org/entity/Q3787	Abuja	Abuja	Abuja	Abuja	Abuja	Abuja
http://www.wikidata.org/entity/Q3792	Lomé	Lomé	Lomé	Lomé	Lomé	Lomé
http://www.wikidata.org/entity/Q3799	Porto-Novo	Porto-Novo	Porto-Novo	Porto-Novo	Porto-Novo	Porto-Novo
http://www.wikidata.org/entity/Q3805	Amman	Amman	Amman	Amman	Amman	Amman
http://www.wikidata.org/entity/Q3832	Bangui	Bangui	Bangui	Bangui	Bangui	Bangui
http://www.wikidata.org/entity/Q3838	Kinshasa	Kinshasa	Kinshasa	Kinshasa	Kinshasa	Kinshasa
http://www.wikidata.org/entity/Q3844	Brazzaville	Brazzaville	Brazzaville	Brazzaville	Brazzaville	Brazzaville
http://www.wikidata.org/entity/Q3876	Lilongwe	Lilongwe	Lilongwe	Lilongwe	Lilongwe	Lilongwe
http://www.wikidata.org/entity/Q38807	Suva	Suva	Suva	Suva	Suva	Suva
http://www.wikidata.org/entity/Q3881	Lusaka	Lusaka	Lusaka	Lusaka	Lusaka	Lusaka
http://www.wikidata.org/entity/Q3882	Manama	Manama	Manama	Manama	Manama	Manama
http://www.wikidata.org/entity/Q3889	Maputo	Maputo	Maputo	Maputo	Maputo	Maputo
http://www.wikidata.org/entity/Q3894	Kampala	Kampala	Kampala	Kampala	Kampala	Kampala
http://www.wikidata.org/entity/Q3897	Luanda	Luanda	Luanda	Luanda	Luanda	Luanda
http://www.wikidata.org/entity/Q3901	Moroni	Moroni	Moroni	Moroni	Moroni	Moroni
http://www.wikidata.org/entity/Q3909	Maseru	Maseru	Maseru	Maseru	Maseru	Maseru
http://www.wikidata.org/entity/Q39178	Port of Spain	Port of Spain	Port of Spain	Port of Spain	Port-d'Espagne	Port of Spain
http://www.wikidata.org/entity/Q3921	Harare	Harare	Harare	Harare	Harare	Harare
http://www.wikidata.org/entity/Q3929	Port Louis	Port Louis	Port Louis	Port Louis	Port-Louis	Port Louis
http://www.wikidata.org/entity/Q3932	São Tomé	São Tomé	São Tomé	São Tomé	São Tomé	São Tomé
http://www.wikidata.org/entity/Q3935	Windhoek	Windhoek	Windhoek	Windhoek	Windhoek	Windhoek
http://www.wikidata.org/entity/Q3940	Victoria	Victoria	Victoria	Victoria	Victoria	Victoria
http://www.wikidata.org/entity/Q40921	Honiara	Honiara	Honiara	Honiara	Honiara	Honiara
http://www.wikidata.org/entity/Q41295	Basseterre	Basseterre	Basseterre	Basseterre	Basseterre	Basseterre
http://www.wikidata.org/entity/Q41474	Kingstown	Kingstown	Kingstown	Kingstown	Kingstown	Kingstown
http://www.wikidata.org/entity/Q41547	St. George's	Saint George's	St. George’s	St. George’s	Saint-Georges	Saint George's
http://www.wikidata.org/entity/Q41699	Castries	Castries	Castries	Castries	Castries	Castries
http://www.wikidata.org/entity/Q42751	Palikir	Palikir	Palikir	Palikir	Palikir	Palikir
http://www.wikidata.org/entity/Q515229	Ngerulmud	Ngerulmud	Ngerulmud	Ngerulmud	Ngerulmud	Ngerulmud
http://www.wikidata.org/entity/Q5838	Kabul	Kabul	Kabul	Kabul	Kaboul	Kabul
http://www.wikidata.org/entity/Q585	Oslo	Oslo	Oslo	Oslo	Oslo	Oslo
http://www.wikidata.org/entity/Q727	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam	Amsterdam
http://www.wikidata.org/entity/Q84	London	London	Lontoo	London	Londres	Londra
http://www.wikidata.org/entity/Q85	Cairo	Kairo	Kairo	Kairo	Le Caire	Il Cairo
http://www.wikidata.org/entity/Q9270	Thimphu	Thimphu	Thimphu	Thimphu	Thimphou	Thimphu
http://www.wikidata.org/entity/Q9279	Bandar Seri Begawan	Bandar Seri Begawan	Bandar Seri Begawan	Bandar Seri Begawan	Bandar Seri Begawan	Bandar Seri Begawan
http://www.wikidata.org/entity/Q9310	Dili	Dili	Dili	Dili	Dili	Dili
http://www.wikidata.org/entity/Q9326	Vientiane	Vientiane	Vientiane	Vientiane	Vientiane	Vientiane
http://www.wikidata.org/entity/Q9347	Malé	Malé	Malé	Malé	Malé	Male
http://www.wikidata.org/entity/Q9365	Dushanbe	Dusjanbe	Dušanbe	Duschanbe	Douchanbé	Dušanbe
http://www.wikidata.org/entity/Q956	Beijing	Peking	Peking	Peking	Pékin	Pechino
